strike,bid,ask,openInterest,impliedVolatility
790,13.31,13.35,1396,0.1401
791,12.8,12.84,8,0.1389
794,11.52,11.56,24,0.1369
795,11.1,11.14,480,0.1362
796,10.7,10.74,21,0.1355
797,10.31,10.34,207,0.1348
798,9.99,10.02,2,0.1346
800,9.2,9.23,2084,0.133
801,8.87,8.9,44,0.1325
802,8.55,8.59,18,0.1322
803,8.2,8.24,3,0.1315
804,7.86,7.89,6,0.1307
805,7.57,7.61,203,0.1304
806,7.27,7.31,20848,0.12990000000000002
809,6.4,6.44,49,0.1283
810,6.15,6.18,656,0.12789999999999999
811,5.94,5.98,166,0.12789999999999999
812,5.65,5.69,4,0.12710000000000002
815,4.96,5.0,337,0.1259
817,4.55,4.58,4,0.1252
819,4.16,4.18,7,0.1244
820,3.98,4.0,1954,0.1241
825,3.15,3.18,158,0.1226
830,2.48,2.51,1492,0.12140000000000001
835,1.95,1.98,647,0.12050000000000001
840,1.53,1.56,332,0.1199
845,1.2,1.22,411,0.1195
850,0.94,0.96,4970,0.1193
855,0.73,0.76,122,0.1195
860,0.58,0.59,651,0.11939999999999999
865,0.46,0.48,802,0.1204
870,0.37,0.39,1173,0.12119999999999999
875,0.31,0.32,58,0.12240000000000001
880,0.25,0.26,1092,0.1233
885,0.21,0.22,236,0.125
890,0.18,0.19,259,0.1268
895,0.16,0.17,3260,0.1293
900,0.13,0.15,3930,0.13140000000000002
905,0.12,0.13,140,0.1333
910,0.1,0.12,32,0.136
915,0.09,0.1,47,0.13699999999999998
